target,feature_set,layer,layer_pct,model_type,fold,auc,f1,accuracy,n_train,n_test,positive_rate_test
compliance,hidden_layer_31,31.0,100.0,logistic,3,0.7703477730323369,0.47368421052631576,0.7822706065318819,15431,3858,0.19310523587350958
compliance,hidden_layer_31,31.0,100.0,logistic,4,0.7889561091860114,0.47434292866082606,0.7822141560798548,15432,3857,0.18926626912107855
compliance,hidden_layer_16,16.0,51.61290322580645,gradient_boosting,0,0.855611212023732,0.36678200692041524,0.8576982892690513,15431,3858,0.16666666666666666
compliance,hidden_layer_16,16.0,51.61290322580645,gradient_boosting,1,0.8388603078708802,0.4007561436672968,0.8356661482633488,15431,3858,0.18973561430793157
compliance,hidden_layer_16,16.0,51.61290322580645,gradient_boosting,2,0.8580639218937092,0.3996212121212121,0.8356661482633488,15431,3858,0.19595645412130638
compliance,hidden_layer_16,16.0,51.61290322580645,gradient_boosting,3,0.8423334059163025,0.40681173131504256,0.8374805598755832,15431,3858,0.19310523587350958
compliance,hidden_layer_16,16.0,51.61290322580645,gradient_boosting,4,0.8371527701722952,0.4080846968238691,0.8405496499870365,15432,3857,0.18926626912107855
refusal,surface,,,logistic,0,0.44489538333639056,0.3386291420789832,0.6223431829963711,15431,3858,0.27553136340072576
refusal,surface,,,logistic,1,0.8586449416172119,0.40328697850821743,0.7553136340072576,15431,3858,0.1026438569206843
refusal,surface,,,logistic,2,0.8244906246021176,0.4038961038961039,0.7620528771384136,15431,3858,0.10964230171073094
refusal,surface,,,logistic,3,0.8406252980749268,0.4105793450881612,0.7573872472783826,15431,3858,0.10730948678071539
refusal,surface,,,logistic,4,0.8390897646229565,0.38132807363576593,0.7560280010370755,15432,3857,0.09670728545501685
refusal,behavioural,,,logistic,0,0.8887965170972895,0.6642228739002932,0.7625712804561949,15431,3858,0.27553136340072576
refusal,behavioural,,,logistic,1,0.8997360957932881,0.4170319348778961,0.7586832555728357,15431,3858,0.1026438569206843
refusal,behavioural,,,logistic,2,0.9024800327596945,0.45125,0.7724209434940383,15431,3858,0.10964230171073094
refusal,behavioural,,,logistic,3,0.9090647040010773,0.43833943833943834,0.7615344738206324,15431,3858,0.10730948678071539
refusal,behavioural,,,logistic,4,0.8906937266646762,0.4025236593059937,0.7544723878662173,15432,3857,0.09670728545501685
refusal,prompt_embedding,,,logistic,0,0.7630572669580304,0.5378821444395215,0.7296526697770865,15431,3858,0.27553136340072576
refusal,prompt_embedding,,,logistic,1,0.9023933733639107,0.48424289008455035,0.826075686884396,15431,3858,0.1026438569206843
refusal,prompt_embedding,,,logistic,2,0.8914360239641295,0.5068493150684932,0.8320373250388803,15431,3858,0.10964230171073094
refusal,prompt_embedding,,,logistic,3,0.899545944217206,0.5088393543428132,0.8343701399688958,15431,3858,0.10730948678071539
refusal,prompt_embedding,,,logistic,4,0.9012790758519221,0.49243027888446217,0.8348457350272233,15432,3857,0.09670728545501685
refusal,hidden_layer_8,8.0,25.806451612903224,logistic,0,0.9495793624214721,0.7846081651806663,0.8810264385692068,15431,3858,0.27553136340072576
refusal,hidden_layer_8,8.0,25.806451612903224,logistic,1,0.9766395905910638,0.7912621359223301,0.9554173146708139,15431,3858,0.1026438569206843
